order_id,product,price,qty
1,Monitor,299,1
2,Monitor,299,1
3,Monitor,299,2
4,Tablet,499,4
5,Laptop,1200,2
6,Phone,799,2
7,Earbuds,199,2
8,Laptop,1200,1
9,Phone,799,2
10,Laptop,1200,2
11,Laptop,1200,1
12,Laptop,1200,3
13,Monitor,299,2
14,Earbuds,199,5
15,Laptop,1200,3
16,Tablet,499,5
17,Earbuds,199,5
18,Phone,799,4
19,Tablet,499,4
20,Tablet,499,4
21,Phone,799,4
22,Monitor,299,4
23,Earbuds,199,4
24,Tablet,499,5
25,Phone,799,1
26,Earbuds,199,5
27,Monitor,299,4
28,Earbuds,199,1
29,Tablet,499,1
30,Phone,799,1
31,Earbuds,199,5
32,Laptop,1200,2
33,Tablet,499,2
34,Laptop,1200,2
35,Monitor,299,5
36,Laptop,1200,1
37,Monitor,299,1
38,Laptop,1200,3
39,Monitor,299,3
40,Laptop,1200,5
41,Tablet,499,4
42,Phone,799,4
43,Earbuds,199,4
44,Monitor,299,1
45,Tablet,499,3
46,Tablet,499,3
47,Phone,799,3
48,Laptop,1200,1
49,Tablet,499,1
50,Phone,799,1
51,Earbuds,199,3
52,Earbuds,199,3
53,Phone,799,5
54,Monitor,299,4
55,Tablet,499,4
56,Tablet,499,5
57,Earbuds,199,3
58,Earbuds,199,1
59,Tablet,499,5
60,Phone,799,3
61,Tablet,499,4
62,Laptop,1200,1
63,Tablet,499,4
64,Tablet,499,2
65,Laptop,1200,3
66,Laptop,1200,3
67,Monitor,299,2
68,Monitor,299,3
69,Phone,799,1
70,Earbuds,199,2
71,Earbuds,199,1
72,Monitor,299,4
73,Monitor,299,1
74,Tablet,499,3
75,Earbuds,199,1
76,Earbuds,199,1
77,Phone,799,5
78,Monitor,299,2
79,Tablet,499,5
80,Earbuds,199,1
81,Phone,799,1
82,Phone,799,3
83,Phone,799,4
84,Tablet,499,2
85,Earbuds,199,5
86,Tablet,499,4
87,Tablet,499,3
88,Monitor,299,2
89,Tablet,499,5
90,Monitor,299,1
91,Earbuds,199,4
92,Earbuds,199,1
93,Phone,799,2
94,Phone,799,3
95,Tablet,499,3
96,Earbuds,199,4
97,Monitor,299,5
98,Tablet,499,4
99,Laptop,1200,1
100,Tablet,499,4
101,Earbuds,199,4
102,Phone,799,2
103,Phone,799,2
104,Laptop,1200,1
105,Earbuds,199,1
106,Monitor,299,2
107,Laptop,1200,4
108,Laptop,1200,4
109,Laptop,1200,5
110,Phone,799,1
111,Earbuds,199,3
112,Phone,799,1
113,Earbuds,199,3
114,Monitor,299,1
115,Monitor,299,1
116,Monitor,299,1
117,Monitor,299,1
118,Phone,799,3
119,Phone,799,2
120,Earbuds,199,1
121,Tablet,499,2
122,Phone,799,1
123,Tablet,499,2
124,Tablet,499,3
125,Monitor,299,5
126,Monitor,299,3
127,Earbuds,199,2
128,Phone,799,5
129,Phone,799,5
130,Earbuds,199,4
131,Tablet,499,2
132,Monitor,299,3
133,Phone,799,2
134,Phone,799,5
135,Laptop,1200,4
136,Monitor,299,2
137,Monitor,299,1
138,Phone,799,2
139,Earbuds,199,5
140,Tablet,499,4
141,Tablet,499,4
142,Monitor,299,4
143,Earbuds,199,5
144,Earbuds,199,5
145,Laptop,1200,1
146,Phone,799,5
147,Laptop,1200,3
148,Laptop,1200,2
149,Laptop,1200,2
150,Phone,799,5
151,Earbuds,199,3
152,Earbuds,199,4
153,Laptop,1200,3
